Whisky Name,Link,Tags,Nose Score,Nose Comment,Taste Score,Taste Comment,Finish Score,Finish Comment,document_text
Springbank10-year-old,https://www.whiskybase.com/whiskies/whisky/41678/springbank-10-year-old,Green-House,94.0,"The nose is full of aromatic power. We still have a little touch of solvent.\nLeather, orange peel, star anise.\nPlum, prunes, dates, figs, clementine, passion fruit peel.\nOld dry wood, dust, old book.\nWe have aromas of old rum, Demerara, and almost a little cane sugar.",96.0,"On the palate it is surprisingly fresh and ""almost"" light.\nFresh apricot, pineapple, passion fruit, guava, papaya.\nIt is very tropical.\nBut the dominant remains woody, with pretty spices.\nCloves, anise, pepper, bitter chocolate, cinnamon, nutmeg. They are all there.\nWe have fresh mint, some dry aromatic herbs.\nA little barbecue charcoal, smoke.",95.0,"Long finish on liquorice, camphor, smoke, ash and barbecue, light peat.\nPepper, cloves, fresh mint.\nIt's long, comforting, it feels like you're at the edge of the fireplace.","위스키 이름: Springbank10-year-old
태그: Green-House

향(Nose) [점수: 94.0]: The nose is full of aromatic power. We still have a little touch of solvent.\nLeather, orange peel, star anise.\nPlum, prunes, dates, figs, clementine, passion fruit peel.\nOld dry wood, dust, old book.\nWe have aromas of old rum, Demerara, and almost a little cane sugar.

맛(Taste) [점수: 96.0]: On the palate it is surprisingly fresh and ""almost"" light.\nFresh apricot, pineapple, passion fruit, guava, papaya.\nIt is very tropical.\nBut the dominant remains woody, with pretty spices.\nCloves, anise, pepper, bitter chocolate, cinnamon, nutmeg. They are all there.\nWe have fresh mint, some dry aromatic herbs.\nA little barbecue charcoal, smoke.

피니쉬(Finish) [점수: 95.0]: Long finish on liquorice, camphor, smoke, ash and barbecue, light peat.\nPepper, cloves, fresh mint.\nIt's long, comforting, it feels like you're at the edge of the fireplace."
Ardbeg1967 Kb,https://www.whiskybase.com/whiskies/whisky/23005/ardbeg-1967-kb,,,"Peat, nuts, celery, well integrated, leather, engine oil, baked apple",,"Leather, shoe polish, sherry, mints, cigar, smoke/peat, honey, caramel, red fruits, citrus fruits, liquorice, BBQ sauce, or simply, it got everything!",,"Banana, smoke, citrus, black tea, long and nutty","위스키 이름: Ardbeg1967 Kb

향(Nose): Peat, nuts, celery, well integrated, leather, engine oil, baked apple

맛(Taste): Leather, shoe polish, sherry, mints, cigar, smoke/peat, honey, caramel, red fruits, citrus fruits, liquorice, BBQ sauce, or simply, it got everything!

피니쉬(Finish): Banana, smoke, citrus, black tea, long and nutty"
Springbank35-year-old,https://www.whiskybase.com/whiskies/whisky/11046/springbank-35-year-old,"Chocolate,Dried Fruit,Fresh Fruit,New Wood,Oily,Sherried,Toasted,Tobacco,Vanilla",100.0,"Fresh, rich, intensive, complex, fruity, plums, ripe bananas, mango, pineapples, passion fruit, sweet and smooth oak wood, little pipe tobacco, touch of vanilla and much more - I can't list everything",99.0,"Oh yes, smooth, warm, sweet oak wood, little vanilla, oily, liquorice, mellow, dried fruits, dark fruits again, prunes, milk chocolate, little toffee - just superb!",98.0,"Long, warm, very smooth oak lingering - neverending. Does not need water - with water the finish becomes even more honeyish.","위스키 이름: Springbank35-year-old
태그: Chocolate,Dried Fruit,Fresh Fruit,New Wood,Oily,Sherried,Toasted,Tobacco,Vanilla

향(Nose) [점수: 100.0]: Fresh, rich, intensive, complex, fruity, plums, ripe bananas, mango, pineapples, passion fruit, sweet and smooth oak wood, little pipe tobacco, touch of vanilla and much more - I can't list everything

맛(Taste) [점수: 99.0]: Oh yes, smooth, warm, sweet oak wood, little vanilla, oily, liquorice, mellow, dried fruits, dark fruits again, prunes, milk chocolate, little toffee - just superb!

피니쉬(Finish) [점수: 98.0]: Long, warm, very smooth oak lingering - neverending. Does not need water - with water the finish becomes even more honeyish."
Springbank1966,https://www.whiskybase.com/whiskies/whisky/14389/springbank-1966,,,"Like a chimera of Genting King and Honey Rum. There are not many wood elements, but you can imagine the old barrels, mahogany furniture, walnuts, reddish brown leather goods, a bit of dirty grease in it, Italian vinaigrette, wood lacquer, a little hummus With Texas roast beef, the direction of peat is incense, hemp rope and barbecue. It is too sweet under the influence of Sherry Cask, honey, HP-style sherry, 35% chocolate, dry black fruit jam, nine-made plum, cough syrup. When I wake up a little, delicious oil and milk aromas emerge, all kinds of spices, raw beef chestnuts, and coconut oil, which are incredibly fragrant.",,"Oceanic fino Shirley. Rhubarb, ginkgo fruit, nettle, mint, coffee, honey, oil with cooling, honey and traditional Chinese medicine, mutual restraint, all behave very calmly. Chocolate, caramel, sea salt, black pepper, roasted seeds and nuts, Shirley's dark fruit, dried figs, tangerine peel, vanilla, complex and balanced.\nStrong, good fat, suitable sweetness, no acid, no astringency, bitterness, no pungency.",,"Long-term, coffee, salt, fino, black pepper, cheese.","위스키 이름: Springbank1966

향(Nose): Like a chimera of Genting King and Honey Rum. There are not many wood elements, but you can imagine the old barrels, mahogany furniture, walnuts, reddish brown leather goods, a bit of dirty grease in it, Italian vinaigrette, wood lacquer, a little hummus With Texas roast beef, the direction of peat is incense, hemp rope and barbecue. It is too sweet under the influence of Sherry Cask, honey, HP-style sherry, 35% chocolate, dry black fruit jam, nine-made plum, cough syrup. When I wake up a little, delicious oil and milk aromas emerge, all kinds of spices, raw beef chestnuts, and coconut oil, which are incredibly fragrant.

맛(Taste): Oceanic fino Shirley. Rhubarb, ginkgo fruit, nettle, mint, coffee, honey, oil with cooling, honey and traditional Chinese medicine, mutual restraint, all behave very calmly. Chocolate, caramel, sea salt, black pepper, roasted seeds and nuts, Shirley's dark fruit, dried figs, tangerine peel, vanilla, complex and balanced.\nStrong, good fat, suitable sweetness, no acid, no astringency, bitterness, no pungency.

피니쉬(Finish): Long-term, coffee, salt, fino, black pepper, cheese."
Brora1972,https://www.whiskybase.com/whiskies/whisky/9531/brora-1972,"Leathery,Oily,Toasted",96.0,"Famyard smells galore, hay, cowbarns, animal sheds, faint manure (if you can believe in a good way)\nPeat, salt, damp hay, wet granite, slight orange breakfast marmalade note, a little ginger, pepper, hints of nectarine, finally a little sweet cigar smoke & oak smoked bacon,\nGreat nose.",95.0,"At first you get a lovely bag of fruit gums then the peat tries to rip the front of your tongue off, your mouth needs to acclimatise to this, superb balance.\nPlenty of ginger spice mixing with the peat, so fresh, not overpowering, orange, apricot, dried peels and that lovely spicy peppery peat.",95.0,"Good length, remaining composed, absolutely nothing out of place","위스키 이름: Brora1972
태그: Leathery,Oily,Toasted

향(Nose) [점수: 96.0]: Famyard smells galore, hay, cowbarns, animal sheds, faint manure (if you can believe in a good way)\nPeat, salt, damp hay, wet granite, slight orange breakfast marmalade note, a little ginger, pepper, hints of nectarine, finally a little sweet cigar smoke & oak smoked bacon,\nGreat nose.

맛(Taste) [점수: 95.0]: At first you get a lovely bag of fruit gums then the peat tries to rip the front of your tongue off, your mouth needs to acclimatise to this, superb balance.\nPlenty of ginger spice mixing with the peat, so fresh, not overpowering, orange, apricot, dried peels and that lovely spicy peppery peat.

피니쉬(Finish) [점수: 95.0]: Good length, remaining composed, absolutely nothing out of place"
Macallan40-year-old,https://www.whiskybase.com/whiskies/whisky/87873/macallan-40-year-old,Cooked Mash,,"This Macallan 40yo is full bodied and oily. A beauty to behold in the glass. The nose is elegant but thick and full. Smels of spices, christmas, dried fruits and nutts.",,"Palate is soft, smooth and gentle. Sherry. Some spicyness but not to oaky, you get tastes of dryed fruit, orange, prune, fig. Even some fudge and coco.",,"Long dry aftertaste. Keeps you happy.\nElegant and surprisingly gentle whisky, yet complex with several layers. Perfectly balanced.","위스키 이름: Macallan40-year-old
태그: Cooked Mash

향(Nose): This Macallan 40yo is full bodied and oily. A beauty to behold in the glass. The nose is elegant but thick and full. Smels of spices, christmas, dried fruits and nutts.

맛(Taste): Palate is soft, smooth and gentle. Sherry. Some spicyness but not to oaky, you get tastes of dryed fruit, orange, prune, fig. Even some fudge and coco.

피니쉬(Finish): Long dry aftertaste. Keeps you happy.\nElegant and surprisingly gentle whisky, yet complex with several layers. Perfectly balanced."
Springbank1965 CA,https://www.whiskybase.com/whiskies/whisky/37615/springbank-1965-ca,,,How dark can a whisky be! Dried fruits of figs and dates. Truck loads of raisins. Prunes. Christmas cake all the way. Wild cherries. Maggi. Hints of smoke at the background. Probably one of the best noses I ever had.,,"Thick and oily. Sweet sherry (PX?). Bitter orange, Plums. Liqueur like. But also diesel oil associations. Lots of tanninnes. Chocolate as well. Espresso coffee. Earthy notes.",,Long and warming. Clove and nutmeg. Cinnamon. Some mint.,"위스키 이름: Springbank1965 CA

향(Nose): How dark can a whisky be! Dried fruits of figs and dates. Truck loads of raisins. Prunes. Christmas cake all the way. Wild cherries. Maggi. Hints of smoke at the background. Probably one of the best noses I ever had.

맛(Taste): Thick and oily. Sweet sherry (PX?). Bitter orange, Plums. Liqueur like. But also diesel oil associations. Lots of tanninnes. Chocolate as well. Espresso coffee. Earthy notes.

피니쉬(Finish): Long and warming. Clove and nutmeg. Cinnamon. Some mint."
Brora1972,https://www.whiskybase.com/whiskies/whisky/182558/brora-1972,,94.0,"Vanilla, honeydew, dirty and leathery notes, old books, wet tobacco and hay, citrusy, lemony, ripe banana, some peat and smoke, minerals - excellent!",94.0,"Oily, creamy, little sirupy, good sweetness, citrusy, more peaty and smoky, little bonfire, little fruitiness, little honey, vanilla, little spices and herbs, hints of leather, little dirty, old books - still excellent!",93.0,"Medium long, warm, spicy, peaty, citric, honey","위스키 이름: Brora1972

향(Nose) [점수: 94.0]: Vanilla, honeydew, dirty and leathery notes, old books, wet tobacco and hay, citrusy, lemony, ripe banana, some peat and smoke, minerals - excellent!

맛(Taste) [점수: 94.0]: Oily, creamy, little sirupy, good sweetness, citrusy, more peaty and smoky, little bonfire, little fruitiness, little honey, vanilla, little spices and herbs, hints of leather, little dirty, old books - still excellent!

피니쉬(Finish) [점수: 93.0]: Medium long, warm, spicy, peaty, citric, honey"
Bowmore1957,https://www.whiskybase.com/whiskies/whisky/200/bowmore-1957,,95.0,"Lots of tropical fruits, mango, pineapple, ripe banana, exotic fruit juice, also some yellow fruits, peach, vanilla, peche melba, whiffs of honey, apricot jam, little spices, cream - excellent!",94.0,"Very creamy, little sirupy, subtle sweetness, exotic fruits, ripe mango, pepper, spices, little gingerbread, hints of oak wood, vanilla - delicious!",93.0,"Medium long, warm, fruity, spicy, little woody, zesty, grapefruit - great!","위스키 이름: Bowmore1957

향(Nose) [점수: 95.0]: Lots of tropical fruits, mango, pineapple, ripe banana, exotic fruit juice, also some yellow fruits, peach, vanilla, peche melba, whiffs of honey, apricot jam, little spices, cream - excellent!

맛(Taste) [점수: 94.0]: Very creamy, little sirupy, subtle sweetness, exotic fruits, ripe mango, pepper, spices, little gingerbread, hints of oak wood, vanilla - delicious!

피니쉬(Finish) [점수: 93.0]: Medium long, warm, fruity, spicy, little woody, zesty, grapefruit - great!"
Highland Park1958,https://www.whiskybase.com/whiskies/whisky/16477/highland-park-1958,Sherried,,"A full bed of heather in springtime bloom, wild honey fresh from the hive, blood oranges, sandalwood, blood oranges and tangerines, sandalwood and pine log smoke",,"Pine sap, fir honey, roasted chestnuts, more mango, tangerines and blood oranges, Manuka honey on a croissant, liquorice, all-spice",,"Stunning, long, resinous, warming. more heather-honey, smoke, espresso, roasted hazelnuts, dark fudge, it's a session killer","위스키 이름: Highland Park1958
태그: Sherried

향(Nose): A full bed of heather in springtime bloom, wild honey fresh from the hive, blood oranges, sandalwood, blood oranges and tangerines, sandalwood and pine log smoke

맛(Taste): Pine sap, fir honey, roasted chestnuts, more mango, tangerines and blood oranges, Manuka honey on a croissant, liquorice, all-spice

피니쉬(Finish): Stunning, long, resinous, warming. more heather-honey, smoke, espresso, roasted hazelnuts, dark fudge, it's a session killer"
